Accession  Genome                                                             Gene_ID_1           Gene_ID_2           Gene_tag_1         Gene_tag_2         Protein_ID_1    Protein_ID_2
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020040  CODI001c01a_020150  groEL              DIP2037            NP_940351.1     NP_940362.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020400  CODI001c01a_020450  purA               DIP2068            NP_940387.1     NP_940392.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020470  CODI001c01a_020630  DIP2070            fba                NP_940394.1     NP_940410.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020680  CODI001c01a_020730  DIP2099            clpB               NP_940415.1     NP_940420.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020760  CODI001c01a_020770  DIP2107            DIP2108            NP_940423.1     NP_940424.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_020980  CODI001c01a_021020  DIP2129            DIP2130            NP_940445.1     NP_940446.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_021020  CODI001c01a_021040  DIP2130            DIP2132            NP_940446.1     NP_940448.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_000300  CODI001c01a_000320  ppiA               DIP0027            NP_938434.1     NP_938436.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_021520  CODI001c01a_021530  DIP2185            pccB               NP_940495.1     NP_940496.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_021680  CODI001c01a_021720  glf                DIP2207            NP_940511.1     NP_940515.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_021720  CODI001c01a_021950  DIP2207            glpK               NP_940515.1     NP_940538.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_022150  CODI001c01a_022210  ldh                sodA               NP_940558.1     NP_940564.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_003260  CODI001c01a_003400  DIP0333            DIP0349            NP_938721.1     NP_938734.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_003410  CODI001c01a_003470  DIP0350            DIP0358            NP_938735.1     NP_938741.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_022730  CODI001c01a_022780  DIP2311            DIP2317            NP_940613.1     NP_940618.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_000400  CODI001c01a_000510  thiD               DIP0052            NP_938444.1     NP_938455.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_004380  CODI001c01a_004470  rpoC               cstS               NP_938828.1     NP_938837.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_000580  CODI001c01a_000990  DIP0059            bioB               NP_938462.1     NP_938502.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_007160  CODI001c01a_007200  DIP0733            DIP0736            NP_939106.1     NP_939109.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_007440  CODI001c01a_007530  DIP0761            DIP0773            NP_939133.1     NP_939139.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_007760  CODI001c01a_008000  DIP0796            DIP0821            NP_939162.1     NP_939185.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_008180  CODI001c01a_008240  purH               DIP0845            NP_939203.1     NP_939209.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_001280  CODI001c01a_001380  DIP0136            DIP0149            NP_938531.1     NP_938541.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_009380  CODI001c01a_009440  DIP0958            DIP0964            NP_939321.1     NP_939327.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_010910  CODI001c01a_011000  DIP1116            ppc                NP_939473.1     NP_939479.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_011230  CODI001c01a_011250  DIP1145            polA               NP_939502.1     NP_939503.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_011550  CODI001c01a_011590  tyrS               DIP1177            NP_939533.1     NP_939534.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_001680  CODI001c01a_001710  DIP0178            DIP0179            NP_938570.1     NP_938571.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_001710  CODI001c01a_002200  DIP0179            DIP0225            NP_938571.1     NP_938618.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_002230  CODI001c01a_002370  DIP0228            DIP0245            NP_938621.1     NP_938635.1
NC_002935  Corynebacterium_diphtheriae_NCTC_13129                             CODI001c01a_013590  CODI001c01a_013600  DIP1380            DIP1381            NP_939732.1     NP_939733.1
NC_006958  Corynebacterium_glutamicum_ATCC_13032                              COGL001c01a_017060  COGL001c01a_018910  cg1884             cg2074             YP_225957.1     YP_226135.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_014690  COPE001c01a_014960  lipA               Cp1002_1467        YP_005681707.1  YP_005681734.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_016960  COPE001c01a_017010  serB               ctaD               YP_005681925.1  YP_005681930.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_017130  COPE001c01a_017310  cmtR               murA               YP_005681942.1  YP_005681956.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_019160  COPE001c01a_019230  Cp1002_1877        Cp1002_1886        YP_005682135.1  YP_005682142.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_000240  COPE001c01a_000340  ybhB               pld                YP_005680296.1  YP_005680306.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_003830  COPE001c01a_003840  ansA               rpsH               YP_005680642.1  YP_005680643.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_005630  COPE001c01a_005750  Cp1002_0552        sprT               YP_005680822.1  YP_005680833.1
NC_017300  Corynebacterium_pseudotuberculosis_1002                            COPE001c01a_005760  COPE001c01a_005820  Cp1002_0563        ansP               YP_005680834.1  YP_005680840.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_025000  ENCL001c01a_025120  ECL_02486          ECL_02498          YP_003612978.1  YP_003612990.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_026480  ENCL001c01a_026910  ECL_02632          ECL_02675          YP_003613124.1  YP_003613165.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_026930  ENCL001c01a_026950  ECL_02677          ECL_02679          YP_003613167.1  YP_003613169.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_027230  ENCL001c01a_027380  ECL_02707          ECL_02722          YP_003613197.1  YP_003613212.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_028030  ENCL001c01a_028110  ECL_02787          gspG               YP_003613277.1  YP_003613285.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_028410  ENCL001c01a_028870  ECL_02825          ECL_02873          YP_003613315.1  YP_003613361.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_031400  ENCL001c01a_031740  ECL_03117          ECL_03151          YP_003613602.1  YP_003613636.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_031920  ENCL001c01a_032440  ECL_03169          fliE               YP_003613654.1  YP_003613703.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_032770  ENCL001c01a_033380  ECL_03252          ECL_03314          YP_003613736.1  YP_003613797.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_033380  ENCL001c01a_033480  ECL_03314          ECL_03323          YP_003613797.1  YP_003613806.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_033800  ENCL001c01a_033930  gnd                galF               YP_003613835.1  YP_003613848.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_034200  ENCL001c01a_034290  ECL_03392          ECL_03401          YP_003613875.1  YP_003613884.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_034440  ENCL001c01a_034600  ECL_03416          ECL_03432          YP_003613899.1  YP_003613915.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_035030  ENCL001c01a_035170  ECL_03475          ECL_03489          YP_003613958.1  YP_003613972.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_035680  ENCL001c01a_036360  ECL_03539          ECL_03607          YP_003614022.1  YP_003614090.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_037150  ENCL001c01a_037530  ECL_03686          ECL_03723          YP_003614169.1  YP_003614206.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_038440  ENCL001c01a_038780  ECL_03810          ECL_03844          YP_003614293.1  YP_003614327.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_039910  ENCL001c01a_040360  ECL_03953          ECL_03998          YP_003614436.1  YP_003614481.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_003760  ENCL001c01a_005470  ECL_00369          ECL_00533          YP_003610884.1  YP_003611048.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_042250  ENCL001c01a_042570  ECL_04182          ECL_04213          YP_003614664.1  YP_003614695.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_043470  ENCL001c01a_043590  ECL_04304          ECL_04317          YP_003614785.1  YP_003614796.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_043600  ENCL001c01a_043640  ECL_04318          ECL_04322          YP_003614797.1  YP_003614801.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_044410  ENCL001c01a_044970  ECL_04400          ECL_04455          YP_003614878.1  YP_003614933.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_045000  ENCL001c01a_045190  ECL_04458          ECL_04477          YP_003614936.1  YP_003614955.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_045540  ENCL001c01a_045700  ECL_04512          ECL_04528          YP_003614990.1  YP_003615006.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_046460  ENCL001c01a_046510  ECL_04603          ECL_04608          YP_003615080.1  YP_003615085.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_047470  ENCL001c01a_047490  ECL_04698          ECL_04700          YP_003615175.1  YP_003615177.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_048000  ENCL001c01a_048070  ECL_04752          ECL_04759          YP_003615228.1  YP_003615235.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_049110  ENCL001c01a_049550  ECL_04863          ECL_04910          YP_003615339.1  YP_003615383.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_049620  ENCL001c01a_049680  ECL_04917          ECL_04923          YP_003615390.1  YP_003615396.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_000420  ENCL001c01a_000440  ECL_00042          ECL_00044          YP_003610559.1  YP_003610561.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_006940  ENCL001c01a_007640  ECL_00680          hpaC               YP_003611193.1  YP_003611262.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_000580  ENCL001c01a_001090  ECL_00058          recG               YP_003610575.1  YP_003610625.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_008140  ENCL001c01a_008150  ECL_00796          ECL_00797          YP_003611309.1  YP_003611310.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_010370  ENCL001c01a_010740  dnaQ               ECL_01052          YP_003611526.1  YP_003611562.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_010970  ENCL001c01a_011460  ECL_01075          tauA               YP_003611585.1  YP_003611633.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_013070  ENCL001c01a_013920  fimZ               fliA               YP_003611794.1  YP_003611876.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_015530  ENCL001c01a_016150  ECL_01526          ECL_01588          YP_003612034.1  YP_003612096.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_016510  ENCL001c01a_016530  narI               ECL_01627          YP_003612132.1  YP_003612134.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_016710  ENCL001c01a_016730  ECL_01644          ECL_01646          YP_003612151.1  YP_003612153.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_016790  ENCL001c01a_017520  ECL_01652          ECL_01725          YP_003612159.1  YP_003612232.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_017840  ENCL001c01a_017930  ECL_01757          ECL_01766          YP_003612264.1  YP_003612273.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_017950  ENCL001c01a_017960  ECL_01768          ECL_01769          YP_003612275.1  YP_003612276.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_018260  ENCL001c01a_018480  ECL_01799          ECL_01823          YP_003612306.1  YP_003612328.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_018550  ENCL001c01a_018630  ECL_01830          ECL_01838          YP_003612335.1  YP_003612343.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_019110  ENCL001c01a_019130  ECL_01888          narV               YP_003612391.1  YP_003612393.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_019290  ENCL001c01a_019320  ECL_01906          ECL_01909          YP_003612409.1  YP_003612412.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_019380  ENCL001c01a_019640  ECL_01915          ECL_01943          YP_003612418.1  YP_003612444.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_019640  ENCL001c01a_020040  ECL_01943          ECL_01983          YP_003612444.1  YP_003612484.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_020770  ENCL001c01a_021100  ECL_02056          ECL_02091          YP_003612557.1  YP_003612590.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_021100  ENCL001c01a_021580  ECL_02091          ECL_02141          YP_003612590.1  YP_003612638.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_021820  ENCL001c01a_021870  ECL_02165          ECL_02170          YP_003612662.1  YP_003612667.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_022060  ENCL001c01a_022350  ECL_02189          ECL_02218          YP_003612686.1  YP_003612715.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_022920  ENCL001c01a_023140  ECL_02275          ECL_02299          YP_003612772.1  YP_003612794.1
NC_014121  Enterobacter_cloacae_subsp_cloacae_ATCC_13047                      ENCL001c01a_023840  ENCL001c01a_024000  sufA               ECL_02386          YP_003612862.1  YP_003612878.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_001100  ENFA001c01a_001560  EF0120             guaA               NP_813923.1     NP_813969.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_016830  ENFA001c01a_016840  EF1738             tryS-2             NP_815442.1     NP_815443.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_017500  ENFA001c01a_018210  gspA-2             rplS               NP_815509.1     NP_815580.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_019020  ENFA001c01a_019520  comG6              comG3              NP_815661.1     NP_815709.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_019880  ENFA001c01a_020550  EF2082             EF2146             NP_815745.1     NP_815809.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_020730  ENFA001c01a_020850  EF2165             EF2177             NP_815827.1     NP_815839.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_021110  ENFA001c01a_021130  EF2203             EF2206             NP_815865.1     NP_815867.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_021350  ENFA001c01a_022530  EF2228             lepA               NP_815889.1     NP_816007.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_022770  ENFA001c01a_022870  EF2380             EF2390             NP_816031.1     NP_816041.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_024000  ENFA001c01a_024370  EF2509             EF2547             NP_816154.1     NP_816190.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_025620  ENFA001c01a_025630  EF2680             EF2681             NP_816315.1     NP_816316.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_026690  ENFA001c01a_027270  EF2796             rpmG-3             NP_816422.1     NP_816478.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_027970  ENFA001c01a_027980  EF2925             radC               NP_816543.1     NP_816544.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_028070  ENFA001c01a_028280  EF2935             EF2956             NP_816553.1     NP_816574.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_028740  ENFA001c01a_028770  EF3005             EF3008             NP_816620.1     NP_816623.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_030690  ENFA001c01a_030830  EF3213             rpsI               NP_816815.1     NP_816829.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_003080  ENFA001c01a_003640  pepC               EF0357             NP_814094.1     NP_814149.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_004750  ENFA001c01a_006020  EF0477             EF0629             NP_814260.1     NP_814384.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_009190  ENFA001c01a_009240  EF0964             rplU               NP_814701.1     NP_814705.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_010040  ENFA001c01a_010220  EF1051             EF1053             NP_814784.1     NP_814786.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_012880  ENFA001c01a_012980  EF1328             trxB               NP_815049.1     NP_815059.1
NC_004668  Enterococcus_faecalis_V583                                         ENFA001c01a_013760  ENFA001c01a_014520  pgi                EF1490             NP_815137.1     NP_815211.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_015710  ENFE001c01a_015720  HMPREF0351_11542   lepA               YP_006376148.1  YP_006376149.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_016310  ENFE001c01a_016320  rpsI               trmA2              YP_006376208.1  YP_006376209.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_018280  ENFE001c01a_018620  frk                rplS               YP_006376403.1  YP_006376437.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_018830  ENFE001c01a_019040  HMPREF0351_11852   stbD               YP_006376458.1  YP_006376479.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_019440  ENFE001c01a_019980  HMPREF0351_11913   capC               YP_006376519.1  YP_006376573.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_021570  ENFE001c01a_021800  HMPREF0351_12123   HMPREF0351_12146   YP_006376729.1  YP_006376752.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_022150  ENFE001c01a_022170  HMPREF0351_12180   radC               YP_006376786.1  YP_006376788.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_023930  ENFE001c01a_023950  HMPREF0351_12351   groEL              YP_006376957.1  YP_006376959.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_024060  ENFE001c01a_024100  HMPREF0351_12364   entI               YP_006376970.1  YP_006376973.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_027140  ENFE001c01a_027160  bcrA               rpsI2              YP_006377252.1  YP_006377254.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_002510  ENFE001c01a_003130  HMPREF0351_10251   HMPREF0351_10313   YP_006374857.1  YP_006374919.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_000330  ENFE001c01a_000340  galA               guaA               YP_006374639.1  YP_006374640.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_005820  ENFE001c01a_006100  sufB               HMPREF0351_10607   YP_006375185.1  YP_006375213.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_006140  ENFE001c01a_006240  ppiA               HMPREF0351_10621   YP_006375217.1  YP_006375227.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_007620  ENFE001c01a_007640  HMPREF0351_10759   HMPREF0351_10761   YP_006375365.1  YP_006375367.1
NC_017960  Enterococcus_faecium_DO                                            ENFE001c01a_009130  ENFE001c01a_009290  rfbP               galE               YP_006375513.1  YP_006375529.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_026520  ESCO001c01a_026860  smpB               gabT               NP_417110.1     NP_417148.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_028350  ESCO001c01a_028410  csdL               argA               NP_417292.1     NP_417295.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_028670  ESCO001c01a_028860  yqeF               ygeR               NP_417321.2     NP_417341.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_029840  ESCO001c01a_030070  speC               gss                NP_417440.4     NP_417462.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_002110  ESCO001c01a_002170  dnaQ               yafV               NP_414751.1     NP_414754.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_030820  ESCO001c01a_030860  dnaG               yqjH               NP_417538.1     NP_417541.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_002250  ESCO001c01a_002290  yafL               dinB               NP_414762.1     NP_414766.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_002410  ESCO001c01a_003600  proA               yaiL               NP_414778.1     NP_414888.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_003740  ESCO001c01a_003870  hemB               psiF               NP_414903.4     NP_414918.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_034980  ESCO001c01a_035040  yhhJ               yhiN               NP_417942.6     NP_417949.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_035270  ESCO001c01a_035320  mdtF               treF               NP_417971.1     NP_417976.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_035420  ESCO001c01a_035560  yhjK               dppC               NP_417986.4     NP_417999.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_036680  ESCO001c01a_036700  yicC               yicG               NP_418101.1     NP_418103.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_036790  ESCO001c01a_036890  yicH               yicN               NP_418112.1     NP_418119.2
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_039350  ESCO001c01a_039360  cpxP               fieF               YP_026277.1     NP_418350.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_040410  ESCO001c01a_040420  pepE               rluF               NP_418445.1     NP_418446.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_040510  ESCO001c01a_040550  psiE               malE               NP_418454.1     NP_418458.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_040650  ESCO001c01a_040700  dinF               dusA               NP_418468.3     NP_418473.2
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_041450  ESCO001c01a_041610  fumB               dsbD               NP_418546.1     NP_418559.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_042190  ESCO001c01a_042280  ulaR               rpsF               NP_418612.1     NP_418621.5
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_042880  ESCO001c01a_043870  yjgR               yjjA               NP_418684.1     NP_418780.2
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_044020  ESCO001c01a_044030  yjjG               prfC               NP_418791.1     NP_418792.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_005290  ESCO001c01a_005770  folD               cusS               NP_415062.1     NP_415102.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_007620  ESCO001c01a_007800  gpmA               ybhB               NP_415276.1     NP_415294.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_008210  ESCO001c01a_008240  ompX               mntR               NP_415335.1     NP_415338.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_000560  ESCO001c01a_000800  rluA               rsmH               NP_414600.1     NP_414624.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_008530  ESCO001c01a_008540  ybjK               ybjL               NP_415367.1     NP_415368.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_008880  ESCO001c01a_008920  clpS               aat                NP_415402.1     NP_415405.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_008990  ESCO001c01a_009020  rarA               dmsB               NP_415412.1     NP_415415.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_009090  ESCO001c01a_009120  pflA               ycaO               NP_415422.1     NP_415425.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_009770  ESCO001c01a_009790  yccA               hyaA               NP_415490.1     NP_415491.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_010020  ESCO001c01a_010040  yccM               torT               NP_415512.1     NP_415514.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_010100  ESCO001c01a_010170  cbpA               rutF               NP_415520.1     NP_415527.4
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_010280  ESCO001c01a_010520  efeB               ymdB               NP_415538.1     NP_415563.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_011300  ESCO001c01a_011310  potC               potB               NP_415642.1     NP_415643.3
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_011340  ESCO001c01a_011350  ycfD               phoQ               NP_415646.4     NP_415647.1
NC_000913  Escherichia_coli_str_K-12_substr_MG1655                            ESCO001c01a_011420  ESCO001c01a_011830  icd                minE               NP_415654.1     NP_415692.1
