locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHCJGCNO_01172	CDS	267	ariR			putative two-component-system connector protein AriR
MHCJGCNO_01173	CDS	249	ymgC			putative protein YmgC
MHCJGCNO_01174	CDS	681	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
MHCJGCNO_01175	CDS	180				hypothetical protein
MHCJGCNO_01176	CDS	312				hypothetical protein
MHCJGCNO_01177	CDS	528				hypothetical protein
MHCJGCNO_01178	CDS	330	ymgD			putative protein YmgD
MHCJGCNO_01179	CDS	285				hypothetical protein
MHCJGCNO_01180	CDS	327				putative autotransporter
MHCJGCNO_01181	CDS	267	minE		COG0851	Cell division topological specificity factor
MHCJGCNO_01182	CDS	813	minD		COG2894	Septum site-determining protein MinD
MHCJGCNO_01183	CDS	696	minC		COG0850	Septum site-determining protein MinC
MHCJGCNO_01184	CDS	369				hypothetical protein
MHCJGCNO_01185	CDS	402	pliG			Inhibitor of g-type lysozyme
MHCJGCNO_01186	CDS	294	ycgL		COG3100	Protein YcgL
MHCJGCNO_01187	CDS	660	ycgM		COG0179	putative protein YcgM
MHCJGCNO_01188	CDS	447				hypothetical protein
MHCJGCNO_01189	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
MHCJGCNO_01190	CDS	1269	umuC		COG0389	Protein UmuC
MHCJGCNO_01191	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
MHCJGCNO_01192	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
MHCJGCNO_01193	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
MHCJGCNO_01194	CDS	1533				hypothetical protein
MHCJGCNO_01195	CDS	1299	dadA_1	1.4.99.-	COG0665	D-amino acid dehydrogenase
MHCJGCNO_01196	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
MHCJGCNO_01197	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
MHCJGCNO_01198	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
MHCJGCNO_01199	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
MHCJGCNO_01200	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
MHCJGCNO_01201	CDS	255				hypothetical protein
MHCJGCNO_01202	CDS	1971	btuB_1			Vitamin B12 transporter BtuB
MHCJGCNO_01203	CDS	855	nadC_2	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MHCJGCNO_01204	CDS	813	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MHCJGCNO_01205	CDS	759			COG1120	putative ABC transporter ATP-binding protein
MHCJGCNO_01206	CDS	981			COG0609	putative ABC transporter permease protein
MHCJGCNO_01207	CDS	1023				hypothetical protein
MHCJGCNO_01208	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
MHCJGCNO_01209	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
MHCJGCNO_01210	CDS	633	dhaL_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
MHCJGCNO_01211	CDS	1071	dhaK_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
MHCJGCNO_01212	CDS	1920	dhaR_1		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
MHCJGCNO_01213	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
MHCJGCNO_01214	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MHCJGCNO_01215	CDS	279				hypothetical protein
MHCJGCNO_01216	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
MHCJGCNO_01217	CDS	1014	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MHCJGCNO_01218	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MHCJGCNO_01219	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
MHCJGCNO_01220	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MHCJGCNO_01221	CDS	1083	prfA_2		COG0216	Peptide chain release factor RF1
MHCJGCNO_01222	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MHCJGCNO_01223	CDS	393	ychQ		COG3094	Protein YchQ
MHCJGCNO_01224	CDS	810				hypothetical protein
MHCJGCNO_01225	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
MHCJGCNO_01226	CDS	108	ldrA			Small toxic polypeptide LdrA
MHCJGCNO_01227	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
MHCJGCNO_01228	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
MHCJGCNO_01229	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
MHCJGCNO_01230	CDS	354	ychN		COG1553	Protein YchN
MHCJGCNO_01231	CDS	1395				Invasin
MHCJGCNO_01232	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
MHCJGCNO_01233	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
MHCJGCNO_01234	CDS	219				hypothetical protein
MHCJGCNO_01235	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
MHCJGCNO_01236	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
MHCJGCNO_01237	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
MHCJGCNO_01238	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
MHCJGCNO_01239	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
MHCJGCNO_01240	CDS	1008	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
MHCJGCNO_01241	CDS	1017	oleD_2	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
MHCJGCNO_01242	CDS	807				hypothetical protein
MHCJGCNO_01243	CDS	1287				hypothetical protein
MHCJGCNO_01244	CDS	603				hypothetical protein
MHCJGCNO_01245	CDS	1125				hypothetical protein
MHCJGCNO_01246	CDS	1092				hypothetical protein
MHCJGCNO_01247	tRNA	85				tRNA-Tyr(gta)
MHCJGCNO_01248	tRNA	85				tRNA-Tyr(gta)
MHCJGCNO_01249	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
MHCJGCNO_01250	CDS	459				hypothetical protein
MHCJGCNO_01251	CDS	945			COG1752	putative NTE family protein
MHCJGCNO_01252	CDS	1014	rssB		COG0784	Regulator of RpoS
MHCJGCNO_01253	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MHCJGCNO_01254	CDS	414	hns		COG2916	DNA-binding protein H-NS
MHCJGCNO_01255	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
MHCJGCNO_01256	CDS	1206				hypothetical protein
MHCJGCNO_01257	CDS	2676	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
MHCJGCNO_01258	CDS	648				hypothetical protein
MHCJGCNO_01259	CDS	156				hypothetical protein
MHCJGCNO_01260	CDS	162				hypothetical protein
MHCJGCNO_01261	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
MHCJGCNO_01262	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
MHCJGCNO_01263	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
MHCJGCNO_01264	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
MHCJGCNO_01265	CDS	1005	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MHCJGCNO_01266	CDS	330				hypothetical protein
MHCJGCNO_01267	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
MHCJGCNO_01268	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
MHCJGCNO_01269	CDS	297	yciI		COG2350	Protein YciI
MHCJGCNO_01270	CDS	720	tonB		COG0810	Protein TonB
MHCJGCNO_01271	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MHCJGCNO_01272	CDS	540	yciB		COG2917	putative intracellular septation protein A
MHCJGCNO_01273	CDS	744				hypothetical protein
MHCJGCNO_01274	CDS	639	ompW		COG3047	Outer membrane protein W
MHCJGCNO_01275	CDS	507	yciE		COG3685	Protein YciE
MHCJGCNO_01276	CDS	501	yciF		COG3685	Protein YciF
MHCJGCNO_01277	CDS	180				hypothetical protein
MHCJGCNO_01278	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MHCJGCNO_01279	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MHCJGCNO_01280	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
MHCJGCNO_01281	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
MHCJGCNO_01282	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
MHCJGCNO_01283	CDS	882	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
MHCJGCNO_01284	CDS	621	yciO		COG0009	putative protein YciO
MHCJGCNO_01285	CDS	1893				hypothetical protein
MHCJGCNO_01286	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MHCJGCNO_01287	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
MHCJGCNO_01288	CDS	759	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
MHCJGCNO_01289	CDS	1050	sohB	3.4.21.-	COG0616	putative protease SohB
MHCJGCNO_01290	CDS	252	yciN			Protein YciN
MHCJGCNO_01291	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
MHCJGCNO_01292	CDS	975	cysB			HTH-type transcriptional regulator CysB
MHCJGCNO_01293	CDS	129	ymiA			Protein YmiA
MHCJGCNO_01294	CDS	168				hypothetical protein
MHCJGCNO_01295	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
MHCJGCNO_01296	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
MHCJGCNO_01297	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
MHCJGCNO_01298	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
MHCJGCNO_01299	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
MHCJGCNO_01300	CDS	798	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MHCJGCNO_01301	CDS	327	yciH		COG0023	putative protein YciH
MHCJGCNO_01302	CDS	219	osmB			Osmotically-inducible lipoprotein B
MHCJGCNO_01303	CDS	750	srlR_1		COG1349	Glucitol operon repressor
MHCJGCNO_01304	CDS	174				hypothetical protein
MHCJGCNO_01305	CDS	1986	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
MHCJGCNO_01306	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
MHCJGCNO_01307	CDS	1128				hypothetical protein
MHCJGCNO_01308	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MHCJGCNO_01309	CDS	567	betI_2			HTH-type transcriptional regulator BetI
MHCJGCNO_01310	CDS	1122	mexA			Multidrug resistance protein MexA
MHCJGCNO_01311	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
MHCJGCNO_01312	CDS	1374	ttgC		COG1538	putative efflux pump outer membrane protein TtgC
MHCJGCNO_01313	CDS	1164	bcr_1			Bicyclomycin resistance protein
MHCJGCNO_01314	CDS	807	sapF		COG4167	Putrescine export system ATP-binding protein SapF
MHCJGCNO_01315	CDS	993	sapD		COG4170	Putrescine export system ATP-binding protein SapD
MHCJGCNO_01316	CDS	891	sapC		COG4171	Putrescine export system permease protein SapC
MHCJGCNO_01317	CDS	966	sapB_1		COG4168	Putrescine export system permease protein SapB
MHCJGCNO_01318	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
MHCJGCNO_01319	CDS	246				hypothetical protein
MHCJGCNO_01320	CDS	183				hypothetical protein
MHCJGCNO_01321	CDS	978	pspF		COG1221	Psp operon transcriptional activator
MHCJGCNO_01322	CDS	669	pspA		COG1842	Phage shock protein A
MHCJGCNO_01323	CDS	225	pspB_1			Phage shock protein B
MHCJGCNO_01324	CDS	360	pspC		COG1983	Phage shock protein C
MHCJGCNO_01325	CDS	222	pspD			Phage shock protein D
MHCJGCNO_01326	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
MHCJGCNO_01327	CDS	1680	ycjM	2.4.1.352	COG0366	Glucosylglycerate phosphorylase
MHCJGCNO_01328	CDS	1293				hypothetical protein
MHCJGCNO_01329	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
MHCJGCNO_01330	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
MHCJGCNO_01331	CDS	1053	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
MHCJGCNO_01332	CDS	789				hypothetical protein
MHCJGCNO_01333	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
MHCJGCNO_01334	CDS	2268	ycjT	2.4.1.230	COG1554	Kojibiose phosphorylase
MHCJGCNO_01335	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
MHCJGCNO_01336	CDS	1083	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
MHCJGCNO_01337	CDS	906	ompG			Outer membrane porin G
MHCJGCNO_01338	CDS	999	ccpA		COG1609	Catabolite control protein A
MHCJGCNO_01339	CDS	1398	ycjX		COG3106	putative protein YcjX
MHCJGCNO_01340	CDS	1062				hypothetical protein
MHCJGCNO_01341	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
MHCJGCNO_01342	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
MHCJGCNO_01343	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
MHCJGCNO_01344	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
MHCJGCNO_01345	CDS	639				hypothetical protein
MHCJGCNO_01346	CDS	921	ycjY_2		COG1073	putative protein YcjY
MHCJGCNO_01347	CDS	900	pgrR_3			HTH-type transcriptional regulator PgrR
MHCJGCNO_01348	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
MHCJGCNO_01349	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
MHCJGCNO_01350	CDS	258				hypothetical protein
MHCJGCNO_01351	CDS	951	uspE		COG0589	Universal stress protein E
MHCJGCNO_01352	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
MHCJGCNO_01353	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
MHCJGCNO_01354	CDS	387	rhaR_1			HTH-type transcriptional activator RhaR
MHCJGCNO_01355	CDS	306	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
MHCJGCNO_01356	CDS	399				hypothetical protein
MHCJGCNO_01357	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
MHCJGCNO_01358	CDS	1233	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
MHCJGCNO_01359	CDS	984	zntB		COG0598	Zinc transport protein ZntB
MHCJGCNO_01360	CDS	174	ynaL			Protein YnaL
MHCJGCNO_01361	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
MHCJGCNO_01362	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
MHCJGCNO_01363	CDS	222				hypothetical protein
MHCJGCNO_01364	CDS	435	uspF		COG0589	Universal stress protein F
MHCJGCNO_01365	CDS	1134	ompN		COG3203	Outer membrane porin N
MHCJGCNO_01366	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
MHCJGCNO_01367	CDS	267				hypothetical protein
MHCJGCNO_01368	CDS	423	hslJ		COG3187	Heat shock protein HslJ
MHCJGCNO_01369	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
MHCJGCNO_01370	CDS	2640				hypothetical protein
MHCJGCNO_01371	CDS	186				hypothetical protein
MHCJGCNO_01372	CDS	327				hypothetical protein
MHCJGCNO_01373	CDS	7581				hypothetical protein
MHCJGCNO_01374	CDS	861	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
MHCJGCNO_01375	CDS	606	ynbA		COG0558	Inner membrane protein YnbA
MHCJGCNO_01376	CDS	897				hypothetical protein
MHCJGCNO_01377	CDS	1758	ynbC		COG2267	putative protein YnbC
MHCJGCNO_01378	CDS	1269	ynbD		COG0671	putative protein YnbD
MHCJGCNO_01379	CDS	606	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
MHCJGCNO_01380	CDS	3903				hypothetical protein
MHCJGCNO_01381	CDS	801	ydcF		COG1434	Protein YdcF
MHCJGCNO_01382	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
MHCJGCNO_01383	CDS	945	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
MHCJGCNO_01384	CDS	531	cybB		COG3038	Cytochrome b561
MHCJGCNO_01385	CDS	174				hypothetical protein
MHCJGCNO_01386	CDS	456	trg		COG0840	Methyl-accepting chemotaxis protein III
MHCJGCNO_01387	CDS	924	catM			HTH-type transcriptional regulator CatM
MHCJGCNO_01388	CDS	1344			COG5383	putative protein
MHCJGCNO_01389	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
MHCJGCNO_01390	CDS	225				hypothetical protein
MHCJGCNO_01391	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
MHCJGCNO_01392	CDS	981				hypothetical protein
MHCJGCNO_01393	CDS	993	tehA		COG1275	Tellurite resistance protein TehA
MHCJGCNO_01394	CDS	594	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
MHCJGCNO_01395	CDS	669				hypothetical protein
MHCJGCNO_01396	CDS	1173	ydcO		COG3135	Inner membrane protein YdcO
MHCJGCNO_01397	CDS	537	sutR		COG1396	HTH-type transcriptional regulator SutR
MHCJGCNO_01398	CDS	2004	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
MHCJGCNO_01399	CDS	171				hypothetical protein
MHCJGCNO_01400	CDS	1407	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
MHCJGCNO_01401	CDS	1146	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
MHCJGCNO_01402	CDS	1014	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
MHCJGCNO_01403	CDS	942	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
MHCJGCNO_01404	CDS	795	ydcV_3			Inner membrane ABC transporter permease protein YdcV
MHCJGCNO_01405	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
MHCJGCNO_01406	CDS	174	ortT			Orphan toxin OrtT
MHCJGCNO_01407	CDS	234	ydcY			putative protein YdcY
MHCJGCNO_01408	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
MHCJGCNO_01409	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
MHCJGCNO_01410	CDS	2103	cntO_1			Metal-pseudopaline receptor CntO
MHCJGCNO_01411	CDS	1062	yncE		COG3391	putative protein YncE
MHCJGCNO_01412	CDS	1500	ansP2		COG1113	L-asparagine permease 2
MHCJGCNO_01413	CDS	177				hypothetical protein
MHCJGCNO_01414	CDS	429				hypothetical protein
MHCJGCNO_01415	CDS	285				hypothetical protein
MHCJGCNO_01416	CDS	1965	vgrG1_3	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
MHCJGCNO_01417	CDS	942				hypothetical protein
MHCJGCNO_01418	CDS	1134				hypothetical protein
MHCJGCNO_01419	CDS	480				hypothetical protein
MHCJGCNO_01420	CDS	672				IS630 family transposase ISEc40
MHCJGCNO_01421	CDS	372				ISAs1 family transposase ISEc1
MHCJGCNO_01422	CDS	2406	vgrG1_4	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
MHCJGCNO_01423	CDS	792				hypothetical protein
MHCJGCNO_01424	CDS	822				hypothetical protein
MHCJGCNO_01425	CDS	216				hypothetical protein
MHCJGCNO_01426	CDS	570				hypothetical protein
MHCJGCNO_01427	CDS	846	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
MHCJGCNO_01428	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
MHCJGCNO_01429	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
MHCJGCNO_01430	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
MHCJGCNO_01431	CDS	1545	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
MHCJGCNO_01432	CDS	3741	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
MHCJGCNO_01433	CDS	1389	narU		COG2223	Nitrate/nitrite transporter NarU
MHCJGCNO_01434	CDS	825	yddG		COG0697	Aromatic amino acid exporter YddG
MHCJGCNO_01435	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
MHCJGCNO_01436	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
MHCJGCNO_01437	CDS	885	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
MHCJGCNO_01438	CDS	654	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
MHCJGCNO_01439	CDS	285	yddM		COG3093	putative HTH-type transcriptional regulator YddM
MHCJGCNO_01440	CDS	279	higB	3.1.-.-		Endoribonuclease HigB
MHCJGCNO_01441	CDS	171				hypothetical protein
MHCJGCNO_01442	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
MHCJGCNO_01443	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
MHCJGCNO_01444	CDS	138	sra			Stationary-phase-induced ribosome-associated protein
MHCJGCNO_01445	CDS	216	bdm			Protein bdm
MHCJGCNO_01446	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
MHCJGCNO_01447	CDS	2400	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
MHCJGCNO_01448	CDS	1320				hypothetical protein
MHCJGCNO_01449	CDS	1536	gadC		COG0531	putative glutamate/gamma-aminobutyrate antiporter
MHCJGCNO_01450	CDS	1401	gadB	4.1.1.15	COG0076	Glutamate decarboxylase beta
MHCJGCNO_01451	CDS	1011				hypothetical protein
MHCJGCNO_01452	CDS	1158	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
MHCJGCNO_01453	CDS	1683				hypothetical protein
MHCJGCNO_01454	CDS	762	ydeO		COG2207	HTH-type transcriptional regulator YdeO
MHCJGCNO_01455	CDS	234	safA			Two-component-system connector protein SafA
MHCJGCNO_01456	CDS	2280	ydeP		COG0243	Protein YdeP
MHCJGCNO_01457	CDS	915	fimH_1			Type 1 fimbrin D-mannose specific adhesin
MHCJGCNO_01458	CDS	504	fimG_1			Protein FimG
MHCJGCNO_01459	CDS	531	fimF_1			Protein FimF
MHCJGCNO_01460	CDS	2652	fimD_1		COG3188	Outer membrane usher protein FimD
MHCJGCNO_01461	CDS	711	focC			Chaperone protein FocC
MHCJGCNO_01462	CDS	564	fimA_1			Type-1 fimbrial protein, A chain
MHCJGCNO_01463	CDS	123				hypothetical protein
MHCJGCNO_01464	CDS	783				hypothetical protein
MHCJGCNO_01465	CDS	729	pgrR_4			HTH-type transcriptional regulator PgrR
MHCJGCNO_01466	CDS	1065				hypothetical protein
MHCJGCNO_01467	CDS	762				hypothetical protein
MHCJGCNO_01468	CDS	480				hypothetical protein
MHCJGCNO_01469	CDS	525	copR			Transcriptional activator protein CopR
MHCJGCNO_01470	CDS	690				hypothetical protein
MHCJGCNO_01471	CDS	201				hypothetical protein
MHCJGCNO_01472	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
MHCJGCNO_01473	CDS	285	hipB		COG1396	Antitoxin HipB
MHCJGCNO_01474	CDS	759	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
MHCJGCNO_01475	CDS	915				hypothetical protein
MHCJGCNO_01476	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
MHCJGCNO_01477	CDS	1419				hypothetical protein
MHCJGCNO_01478	CDS	360				hypothetical protein
MHCJGCNO_01479	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
MHCJGCNO_01480	CDS	1389	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
MHCJGCNO_01481	CDS	882	gltR		COG0583	HTH-type transcriptional regulator GltR
MHCJGCNO_01482	CDS	1191	sotB		COG2814	Sugar efflux transporter
MHCJGCNO_01483	CDS	666				hypothetical protein
MHCJGCNO_01484	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
MHCJGCNO_01485	CDS	384	marA			Multiple antibiotic resistance protein MarA
MHCJGCNO_01486	CDS	219				hypothetical protein
MHCJGCNO_01487	CDS	1440	bglA_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglA
MHCJGCNO_01488	CDS	1674	bglH_1		COG4580	Cryptic outer membrane porin BglH
MHCJGCNO_01489	CDS	312	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
MHCJGCNO_01490	CDS	1323	chbC_1		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
MHCJGCNO_01491	CDS	312	celA	2.7.1.205		PTS system cellobiose-specific EIIB component
MHCJGCNO_01492	CDS	699	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MHCJGCNO_01493	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
MHCJGCNO_01494	CDS	1188	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
MHCJGCNO_01495	CDS	96	mgtS			Small protein MgtS
MHCJGCNO_01496	CDS	891	dgcZ	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
MHCJGCNO_01497	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
MHCJGCNO_01498	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MHCJGCNO_01499	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
MHCJGCNO_01500	CDS	204	ydfZ			Putative selenoprotein YdfZ
MHCJGCNO_01501	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
MHCJGCNO_01502	CDS	1284	ydfJ			Putative transporter YdfJ
MHCJGCNO_01503	CDS	234	ydfK			Cold shock protein YdfK
MHCJGCNO_01504	CDS	591				Tn3 family transposase ISYps3
MHCJGCNO_01505	CDS	294				hypothetical protein
MHCJGCNO_01506	CDS	1041				hypothetical protein
MHCJGCNO_01507	CDS	282				hypothetical protein
MHCJGCNO_01508	CDS	2373				hypothetical protein
